vacancy_id,vacancy_name,salary_from,salary_to,salary_currency,salary_gross,address_raw,key_skills
116694017,Программист-разработчик Python,200000,,RUR,False,"Москва, 1-й Красногвардейский проезд, 15","Django Rest Framework, PostgreSQL, FastAPI, SQL, NoSQL, Django, Kafka, RabbitMQ, Celery, Docker, git, CLI, ORM, Коммерческая разработка на Python, Английский язык"
120179277,Разработчик (без опыта),20000,40000,RUR,True,"Санкт-Петербург, набережная Обводного канала, 21","Python, Celery, Docker, JavaScript, RabbitMQ, Elasticsearch, Django"
119572573,Middle Python разработчик (Django/Fastapi),220000,290000,RUR,False,,"Python, PostgreSQL, NoSQL, MySQL, Golang, FastAPI, Django Framework, Django Rest Framework, Celery, RabbitMQ, C/C++, Kubernetes, Docker"
120269312,Python-разработчик,,,,,,
118967420,Python разработчик (Django),,360000,RUR,False,,"Docker, CI/CD, Requests, Django Framework, Python, FastAPI"
120261208,Python разработчик,,,,,"Уфа, улица Бехтерева, 3к1","Git, Linux, PostgreSQL, Python, Docker, Разработка нового продукта, SQL, RabbitMQ, ELK, Qt, Agile, Elasticsearch, SaaS, ORACLE"
119971147,Python разработчик (Wordpress),70000,100000,RUR,False,"Москва, Мясницкая улица, 24/7с1","Python, PostgreSQL, FastAPI, Git, Django Framework"
120276872,Senior Python developer/ Ведущий разработчик (FastAPI),300000,,RUR,False,"Москва, Новоданиловская набережная, 12",
120290047,Backend-разработчик,,150000,RUR,False,"Казань, Кремлёвская набережная, 3",
119819055,Python Developer,,,,,"Москва, Ленинградский проспект, 36с41","Python, Docker, Linux, Gitlab, REST API"
119601093,Junior QA Automation (Python),,,,,"Москва, Варшавское шоссе, 125","QA, Black box testing, Политика тестирования, TestRail, UAT-тестирование, Тестирование по тест-кейсам, Приемочное тестирование, Системное тестирование, Позитивное тестирование, Анализ тестирования, Тестирование ПО, Тест-план, Python, Bash, Linux, Git, QEMU, VMware"
120010301,Python-разработчик,,,,,"Воронеж, Московский проспект, 19Б","Python, JSON, pandas, Flask"
120187492,"Программист Python (Django, FastAPI)",60000,100000,RUR,True,"Благовещенск, Зейская улица, 173","Работа в команде, Python, Django Framework, HTML5, CSS3, JavaScript, C++, Git, PostgreSQL, MySQL, SQL, Веб-программирование, FastAPI, Celery, Redis, JSON API, Разработка ПО, Django, Flask, Docker, Backend, REST, REST API, API"
119642834,"Разработчик-ассистент техдиректора (API, React TypeScript, Strapi, Python, автоматизация)",80000,120000,RUR,False,,"Python, SQL, PostgreSQL, GitHub, Git, REST API, SQLAlchemy"
119788286,Middle Python developer,150000,230000,RUR,False,"Москва, Новоданиловская набережная, 12","Python, PostgreSQL, Docker, SQL, Kubernetes"
118783196,Старший Python разработчик,160000,240000,RUR,False,,"Linux, Python, SQL, Docker, PostgreSQL, REST API, Django Rest Framework, FastAPI, Django Framework, SQLAlchemy, Микросервисная архитектура"
116630166,Программист / Python,,,,,"Санкт-Петербург, Учительская ул., 2","Python, Разработка ПО, Моделирование, Имитационное моделирование, Английский язык, SCADA, PyCharm, PyQt"
